id,Y,X,altitude,name,top,bottom,xx,tt,zz
Z22,39483701.5,3851599.62,37.07,22煤,351.28,351.7,石炭系,上石炭统,太原组
Z22,39483701.5,3851599.62,37.07,煤,276.62,286.23,石炭系,上石炭统,太原组
Z23,39483571.82,3852193.78,38.15,7煤,336.12,341.91,二叠系,下二叠统,山西组
Z23,39483571.82,3852193.78,38.15,8煤,367.53,371.55,二叠系,下二叠统,山西组
Z24,39483501.3,3852522.8,38.23,11煤,587.25,587.5,石炭系,上石炭统,太原组
Z24,39483501.3,3852522.8,38.23,13煤,599.2,599.55,石炭系,上石炭统,太原组
Z24,39483501.3,3852522.8,38.23,14煤,604.77,605.17,石炭系,上石炭统,太原组
Z24,39483501.3,3852522.8,38.23,15煤,608.17,608.47,石炭系,上石炭统,太原组
Z24,39483501.3,3852522.8,38.23,17煤,612.37,613.95,石炭系,上石炭统,太原组
Z24,39483501.3,3852522.8,38.23,18煤,617.15,617.65,石炭系,上石炭统,太原组
Z24,39483501.3,3852522.8,38.23,21煤,667.19,668.67,石炭系,上石炭统,太原组
Z24,39483501.3,3852522.8,38.23,22煤,672.22,672.9,石炭系,上石炭统,太原组
Z24,39483501.3,3852522.8,38.23,7煤,477.07,479.83,二叠系,下二叠统,山西组
Z24,39483501.3,3852522.8,38.23,8煤,506.7,510.6,二叠系,下二叠统,山西组
Z24,39483501.3,3852522.8,38.23,煤,551.54,551.94,石炭系,上石炭统,太原组
Z25,39482763.89,3851318.47,38.56,21煤,270.85,271.77,石炭系,上石炭统,太原组
Z25,39482763.89,3851318.47,38.56,22煤,275.7,276.23,石炭系,上石炭统,太原组
Z26,39482693.47,3851639.3,38.06,7煤,250.67,253.9,二叠系,下二叠统,山西组
Z26,39482693.47,3851639.3,38.06,8煤,291.07,294.57,二叠系,下二叠统,山西组
Z27,39482626.91,3851919.79,38.19,17煤,579.92,581.38,石炭系,上石炭统,太原组
Z27,39482626.91,3851919.79,38.19,7煤,365.37,368.16,二叠系,下二叠统,山西组
Z27,39482626.91,3851919.79,38.19,8煤,406.09,409.81,二叠系,下二叠统,山西组
Z27,39482626.91,3851919.79,38.19,煤,451.89,636.54,石炭系,上石炭统,太原组
Z28,39482546.22,3852280.13,37.84,11煤,671.2,675.0,石炭系,上石炭统,太原组
Z28,39482546.22,3852280.13,37.84,15煤,699.7,700.24,石炭系,上石炭统,太原组
Z28,39482546.22,3852280.13,37.84,17煤,703.83,705.45,石炭系,上石炭统,太原组
Z28,39482546.22,3852280.13,37.84,18煤,708.27,708.92,石炭系,上石炭统,太原组
