X,Y,top, "ZLEVEL"
3853536.7963933320716, 39482576.700703524053, -850, "-850"
3853528.8935384619981, 39482566.51220433414, -850, "-850"
3853499.6111865239218, 39482524.993165835738, -850, "-850"
3853477.7847692309879, 39482490.403584778309, -850, "-850"
3853468.0263378010131, 39482473.285628147423, -850, "-850"
3853440.2601027539931, 39482421.578090459108, -850, "-850"
3853426.6760000004433, 39482395.070642240345, -850, "-850"
3853414.6941655906849, 39482369.870552770793, -850, "-850"
3853390.7556306226179, 39482318.163015082479, -850, "-850"
3853375.5672307694331, 39482284.563524961472, -850, "-850"
3853367.849537354894, 39482266.455477394164, -850, "-850"
3853346.1605568616651, 39482214.747939705849, -850, "-850"
3853324.8002592306584, 39482163.040402017534, -850, "-850"
3853324.4584615388885, 39482162.203369796276, -850, "-850"
3853304.7088909330778, 39482111.332864329219, -850, "-850"
3853284.8147760443389, 39482059.625326640904, -850, "-850"
3853273.3496923078783, 39482029.651920042932, -850, "-850"
3853265.4278022008948, 39482007.917788952589, -850, "-850"
3853246.6211627637967, 39481956.210251264274, -850, "-850"
3853227.7900472595356, 39481904.502713575959, -850, "-850"
3853222.2409230773337, 39481889.359148032963, -850, "-850"
3853209.4692306802608, 39481852.795175887644, -850, "-850"
3853191.2250071559101, 39481801.087638199329, -850, "-850"
3853172.7008954389021, 39481749.380100511014, -850, "-850"
3853171.1321538463235, 39481745.087137579918, -850, "-850"
3853154.6259494307451, 39481697.6725628227, -850, "-850"
3853136.1746985092759, 39481645.965025134385, -850, "-850"
3853120.0233846157789, 39481602.059743367136, -850, "-850"
3853117.2916875542141, 39481594.25748744607, -850, "-850"
3853098.5793628511019, 39481542.549949757755, -850, "-850"
3853079.099680412095, 39481490.84241206944, -850, "-850"
3853068.9146153847687, 39481464.959453962743, -850, "-850"
3853059.2589213368483, 39481439.134874381125, -850, "-850"
3853038.9980933186598, 39481387.42733669281, -850, "-850"
3853017.8058461542241, 39481336.271748185158, -850, "-850"
3853017.5891120559536, 39481335.719799004495, -850, "-850"
3852996.2228074106388, 39481284.01226131618, -850, "-850"
3852973.4316589767113, 39481232.304723627865, -850, "-850"
3852966.6970769236796, 39481217.93200468272, -850, "-850"
3852950.1857362883165, 39481180.59718593955, -850, "-850"
3852925.6554103922099, 39481128.889648251235, -850, "-850"
3852915.5883076926693, 39481109.115391984582, -850, "-850"
3852900.3551180320792, 39481077.182110562921, -850, "-850"
3852873.7040474652313, 39481025.474572874606, -850, "-850"
3852864.4795384621248, 39481008.923879683018, -850, "-850"
3852846.3748671622016, 39480973.767035186291, -850, "-850"
3852817.2846730654128, 39480922.059497497976, -850, "-850"
3852813.3707692311145, 39480915.658362150192, -850, "-850"
3852788.5812901384197, 39480870.351959809661, -850, "-850"
3852762.26200000057, 39480826.547139003873, -850, "-850"
3852758.2126792888157, 39480818.644422121346, -850, "-850"
3852730.6659440412186, 39480766.936884433031, -850, "-850"
3852711.1532307695597, 39480729.795735552907, -850, "-850"
3852705.3973338543437, 39480715.229346744716, -850, "-850"
3852691.1900816750713, 39480663.521809056401, -850, "-850"
3852692.4478037445806, 39480611.814271368086, -850, "-850"
3852704.5012200358324, 39480560.106733679771, -850, "-850"
3852711.1532307695597, 39480537.641222573817, -850, "-850"
3852722.3496329123154, 39480508.399195991457, -850, "-850"
3852741.8947048890404, 39480456.691658303142, -850, "-850"
3852760.8002434424125, 39480404.984120614827, -850, "-850"
3852762.26200000057, 39480400.733413510025, -850, "-850"
3852780.9886222365312, 39480353.276582926512, -850, "-850"
3852799.8808870688081, 39480301.569045238197, -850, "-850"
3852813.3707692311145, 39480262.125861868262, -850, "-850"
3852818.0243852823041, 39480249.861507549882, -850, "-850"
3852836.2357227397151, 39480198.153969861567, -850, "-850"
3852853.3181039891206, 39480146.446432173252, -850, "-850"
3852864.4795384621248, 39480110.683917395771, -850, "-850"
3852869.8799774334766, 39480094.738894484937, -850, "-850"
3852886.3717980193906, 39480043.031356796622, -850, "-850"
3852902.0804825010709, 39479991.323819108307, -850, "-850"
3852915.5883076926693, 39479944.972381070256, -850, "-850"
3852917.2619131486863, 39479939.616281419992, -850, "-850"
3852932.6747531183064, 39479887.908743724227, -850, "-850"
3852947.5869036065415, 39479836.201206035912, -850, "-850"
3852962.1244505103678, 39479784.493668347597, -850, "-850"
3852966.6970769236796, 39479767.780343204737, -850, "-850"
3852976.8638116461225, 39479732.786130659282, -850, "-850"
3852991.5897050793283, 39479681.078592970967, -850, "-850"
3853006.1789472694509, 39479629.371055282652, -850, "-850"
